Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
64,CAR-064,3,2001,Bacillariophyceae,755.7199999999999,1269,0,132.677,6.72,0,0.192,0.5,2165.322
64,CAR-064,3,2001,Coccolithophyceae,89.96,167.5,0,5.9399999999999995,0.384,0.48,0.768,0,264.296
64,CAR-064,3,2001,Dinophyceae,0,10,0,1.916,0,0,0,0,11.916
65,CAR-065,4,2001,Bacillariophyceae,11,104.25999999999999,61.293,193.79199999999997,2.941,0,0,0,373.44
65,CAR-065,4,2001,Coccolithophyceae,11.25,11.49,6.253,10.476,4.698,3.6639999999999997,1.661,0,47.84
65,CAR-065,4,2001,Dinophyceae,0,0.63,0.417,0.384,0,0.416,0.128,0,1.856
66,CAR-066,5,2001,Bacillariophyceae,1.5,0,0.25,0,0,0,8,30.75,1.75
66,CAR-066,5,2001,Coccolithophyceae,64,29.990000000000002,32.5,83.25,9.198,0.192,1.75,0.75,219.23
66,CAR-066,5,2001,Dinophyceae,0,0,8.5,10.25,0,0,0,0,18.75
67,CAR-067,6,2001,Bacillariophyceae,0,0,0.192,0,0,0.75,0,0,0.942
67,CAR-067,6,2001,Coccolithophyceae,4.59,2.3,3.072,460,1.536,0.75,0,0,472.261
67,CAR-067,6,2001,Dinophyceae,0,0,0,0,0,2.5,0,0,2.5
68,CAR-068,7,2001,Bacillariophyceae,0,0,1.536,53.63,0,0,0,0,55.17
68,CAR-068,7,2001,Coccolithophyceae,0.76,1.25,3.066,15.32,1.344,0.384,0,0,22.136
68,CAR-068,7,2001,Dinophyceae,0.19,0,0.192,0,0,0,0,0,0.384
69,CAR-069,8,2001,Bacillariophyceae,0,0,0.96,0,0.192,0,0,0.576,1.152
69,CAR-069,8,2001,Coccolithophyceae,1.53,3.83,2.496,0.192,6.333,2.304,0,3.831,16.701
69,CAR-069,8,2001,Dinophyceae,0,0,0.192,0,0.192,0,0,0,0.384
70,CAR-070,9,2001,Bacillariophyceae,1.15,0,0,0,0.25,0,0.192,0,1.402
70,CAR-070,9,2001,Coccolithophyceae,11.1,0,0.192,5.3,0.25,1.5,2.88,2.496,18.378
70,CAR-070,9,2001,Dinophyceae,4.21,0.19,0,0.192,0,0,0.192,0.192,4.6
71,CAR-071,10,2001,Bacillariophyceae,201.92999999999998,118.55000000000001,48.54,33.507000000000005,9.088000000000001,2.048,2.816,3.0060000000000002,414.31899999999996
71,CAR-071,10,2001,Coccolithophyceae,32.95,22.700000000000003,35.242000000000004,71.012,16.476,0.64,0,0.501,179.221
71,CAR-071,10,2001,Dinophyceae,0.65,0,0.128,5.501,0.256,0.128,0,0,6.665000000000001
72,CAR-072,11,2001,Bacillariophyceae,1.91,0,10,1.533,0,0,2.08,0.16,13.449
72,CAR-072,11,2001,Coccolithophyceae,4.8,22,3.75,11.114,47.412,4.5760000000000005,1.533,0,93.65299999999999
72,CAR-072,11,2001,Dinophyceae,0.19,0.5,0,0.384,0.25,0.624,0,2.8739999999999997,1.9500000000000002
73,CAR-073,12,2001,Bacillariophyceae,3.83,0.38,0.768,0,1.536,3.6479999999999997,2.496,0,10.167000000000002
73,CAR-073,12,2001,Coccolithophyceae,4.21,0,0,10,0,0,15.324,0,14.215
73,CAR-073,12,2001,Dinophyceae,0.38,0,0,0,0.192,0,0,0,0.5760000000000001
74,CAR-074,1,2002,Bacillariophyceae,6.51,10.92,5.76,9.600000000000001,6.144,8.814,0,0,47.790000000000006
74,CAR-074,1,2002,Coccolithophyceae,15.3,26.8,22.98,19.15,23.37,0.192,0,0,107.844
74,CAR-074,1,2002,Dinophyceae,1.71,0.76,0.768,8.814,0.384,0,0,0,12.462000000000002
75,CAR-075,2,2002,Bacillariophyceae,303.22,478.5,119.40200000000003,270.84700000000004,3.072,25,0.9600000000000001,1.75,1200.846
75,CAR-075,2,2002,Coccolithophyceae,11.4,21.5,25,15.32,7.662,0,9.58,0,80.979
75,CAR-075,2,2002,Dinophyceae,0,0,0,0,0,0,0,0.25,0
76,CAR-076,3,2002,Bacillariophyceae,1021.1799999999998,879.5,605.3240000000001,1.3439999999999999,2.496,0,0,0,2514.662
76,CAR-076,3,2002,Coccolithophyceae,99.52000000000001,130,32.556,0.96,0.576,0.25,0,0.25,263.958
76,CAR-076,3,2002,Dinophyceae,1.91,5,17.242,1.536,0.384,0.25,0,0,26.328
77,CAR-077,4,2002,Bacillariophyceae,295.36,28.560000000000002,160.37300000000002,0.192,1.3439999999999999,1.92,1.7280000000000002,1.92,488.47500000000014
77,CAR-077,4,2002,Coccolithophyceae,3.83,22.96,11.493,4.215,15.324,7.662,0.192,0,65.511
77,CAR-077,4,2002,Dinophyceae,1.9,0,1.278,0.384,0,0.384,0,0,3.962
78,CAR-078,5,2002,Bacillariophyceae,0.38,1.91,2.3040000000000003,7.4879999999999995,16.512,16.704,0.384,0.174,45.312000000000005
78,CAR-078,5,2002,Coccolithophyceae,34.4,72.7,10.402000000000001,0,0,0,0,0,117.67599999999999
78,CAR-078,5,2002,Dinophyceae,0,0.95,0.96,0.192,0.384,0.384,0,0,2.880000000000001
79,CAR-079,6,2002,Bacillariophyceae,1.12,2.6799999999999997,0.384,0.96,0.576,4.992000000000001,5.5680000000000005,7.295999999999999,10.720000000000002
79,CAR-079,6,2002,Coccolithophyceae,0,0,2.554,0,0,0,0,15.324,2.554
