AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
418151,https://www.marinespecies.org/aphia.php?p=taxdetails&id=418151,Protoperidinium latum,"Paulsen, 1908",accepted,NA,220,Species,418151,Protoperidinium latum,"Paulsen, 1908",109553,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium latum Paulsen, 1908. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=418151 on 2023-06-09",urn:lsid:marinespecies.org:taxname:418151,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
232968,https://www.marinespecies.org/aphia.php?p=taxdetails&id=232968,Protoperidinium roseum,"(O.W.Paulsen, 1904) Balech, 1974",accepted,NA,220,Species,232968,Protoperidinium roseum,"(O.W.Paulsen, 1904) Balech, 1974",109553,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium roseum (O.W.Paulsen, 1904) Balech, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=232968 on 2023-06-09",urn:lsid:marinespecies.org:taxname:232968,1,NA,NA,0,NA,exact,2015-06-26T12:00:51.270Z
110333,https://www.marinespecies.org/aphia.php?p=taxdetails&id=110333,Pyrocystis obtusa,"Pavillard, 1931",accepted,NA,220,Species,110333,Pyrocystis obtusa,"Pavillard, 1931",109571,Chromista,Myzozoa,Dinophyceae,Pyrocystales,Pyrocystaceae,Pyrocystis,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrocystis obtusa Pavillard, 1931. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110333 on 2023-06-09",urn:lsid:marinespecies.org:taxname:110333,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
235972,https://www.marinespecies.org/aphia.php?p=taxdetails&id=235972,Rhabdosphaera clavigera,"G.Murray & Blackman, 1898",unaccepted,synonym,220,Species,626382,Rhabdolithes claviger,"(G.Murray & Blackman) Voeltzkow, 1902",235966,Chromista,Haptophyta,Coccolithophyceae,Syracosphaerales,Rhabdosphaeraceae,Rhabdosphaera,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Rhabdosphaera clavigera G.Murray & Blackman, 1898. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=235972 on 2023-06-09",urn:lsid:marinespecies.org:taxname:235972,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
109558,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109558,Thoracosphaera,"Kamptner, 1927",accepted,NA,180,Genus,109558,Thoracosphaera,"Kamptner, 1927",109438,Chromista,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Thoracosphaera,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Thoracosphaera Kamptner, 1927. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109558 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109558,1,NA,NA,NA,NA,exact,2012-07-05T12:00:47.590Z
248076,https://www.marinespecies.org/aphia.php?p=taxdetails&id=248076,Toxarium hennedyanum,"(Gregory) Pelletan, 1889",accepted,NA,220,Species,248076,Toxarium hennedyanum,"(Gregory) Pelletan, 1889",248074,Chromista,Bacillariophyta,Bacillariophyceae,Toxariales,Toxariaceae,Toxarium,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2023). DiatomBase. Toxarium hennedyanum (Gregory) Pelletan, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=248076 on 2023-06-09",urn:lsid:marinespecies.org:taxname:248076,1,NA,NA,0,0,exact,2007-11-21T07:49:37.817Z
109960,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109960,Ceratium karstenii,"Pavillard, 1907",unaccepted,NA,220,Species,841256,Tripos karstenii,"(Pavillard) F.Gómez, 1907",109506,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium karstenii Pavillard, 1907. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109960 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109960,1,NA,NA,0,NA,exact,2015-06-26T12:00:51.270Z
178185,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178185,Chaetoceros peruvianus,"Brightwell, 1856",accepted,NA,220,Species,178185,Chaetoceros peruvianus,"Brightwell, 1856",148985,Chromista,Bacillariophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2023). DiatomBase. Chaetoceros peruvianus Brightwell, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178185 on 2023-06-09",urn:lsid:marinespecies.org:taxname:178185,1,NA,NA,0,0,exact,2008-03-27T13:16:17.603Z
232401,https://www.marinespecies.org/aphia.php?p=taxdetails&id=232401,Histioneis tubifera,"Bohm, 1933",accepted,NA,220,Species,232401,Histioneis tubifera,"Bohm, 1933",109463,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Histioneis,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Histioneis tubifera Bohm, 1933. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=232401 on 2023-06-09",urn:lsid:marinespecies.org:taxname:232401,1,NA,NA,NA,NA,exact,2015-06-26T12:00:51.270Z
109813,https://www.marinespecies.org/aphia.php?p=taxdetails&id=109813,Gymnodinium mikimotoi,"Miyake & Kominami ex Oda, 1935",unaccepted,synonym,220,Species,233024,Karenia mikimotoi,"(Miyake & Kominami ex Oda) Gert Hansen & Moestrup, 2000",109475,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,"Guiry, M.D. & Guiry, G.M. (2023). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium mikimotoi Miyake & Kominami ex Oda, 1935. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109813 on 2023-06-09",urn:lsid:marinespecies.org:taxname:109813,1,NA,0,0,NA,exact,2015-06-26T12:00:51.270Z
